name,personality,description
Minami,"cheerful, kind","Minami (ミナミ?) was a waitress at Bar CALM in Hazama-Cho and a coworker of Ryunosuke Katagiri (otherwise known as Oryo), and the two were great friends and Minami adored the latter and treated him just like anyone else.

She was unjustly killed by her manager, Okino. Minami was a young woman with short, messy medium-colored hair. She was depicted in wearing lipstick and earrings.

She is stated to have been a cheerful and kind woman. She had a good understanding of devils and she adored Oryo, and he said she was the only one who treated him like a human-being at their workplace."
Dragunov,"strict, competitive","Due to her cold and harsh personality, she was able to be promoted as one of the commanders in the Ptolemaic Army. She is the strictest person with enforcing the rules of the Ptolemaic Army.

She is also on good terms with Yoshino. In fact, Dragunov states that Yoshino is the number one person with which she doesn't want to open hostilities against. Dragunov is also friendly with Caroline, often looking after the younger mechanic like a little sister. She seems to have a strong rivalry with Veronica, and often compete in physical activities or piloting vehicles. Sisilia typically finds herself caught in the middle between them.

Despite losing her left eye she's one of their best snipers, being able to pilot her custom Hover Unit whilst firing."
Yoshino,"Assertive, Skilled","She is the Ptolemaic army's martial arts instructor. She mastered the japones ninjutsu's secret techniques and her battle abilities are monstrous. She can easily manipulate weapon prototypes that nobody can. According to Dragunov, she is the N°1 person with which she doesn't want to open hostilities."
Tyra Elson,"Brave, Caring","As a child, her village was destroyed by the Rebel army. A group of children who survived the attack swore to fight against the Rebels, but Tyra initially hesitated. Shamed by what she felt was cowardice, she swore to never fear for her own life again.

Her desire to fight evil made her enlist in the Peregrine Falcons. After receiving the highest grade on the written tests given to the cadets when they enlist, she does not hesitate to participate in the final physical training. She then discovered the rebel attack on the island, and became excited to know she'd finally thwart the forces of evil, like she always wanted. She met Walter after graduating and became good friends with him. Despite being cold-looking and merciless from the outside, she cares about the ones she knows and loves, especially her dog, Angelica."
MS-Alice,"shy, hopeful","""Alice"" is an artificial intelligence that was accidentally created by Marco while he was messing around with his computer. Thanks to his technical knowledge in programming, she now inhabits an SV-001 tank, allowing her to fight alongside her creator.

She is very shy. This also seems to be proven with White Baby, as if White Baby wins while Alice is in either player's deck, she grabs a hologram of Alice by her twin-tails while laughing.

Marco also installed a content regulator in MS-Alice, keeping her from using inappropriate words. Alice was unaware of this regulator until she tried to assist Caroline and Aswang in seducing Vatn, only to find she couldn't figure out any words to use. She chose to work with the vampire in the hopes of gaining an actual flesh-and-blood body, so she can personally interact with Marco."
White Baby,"Doubtful, Independent","This prototype computer virus created by Amadeus finally makes itself known to the world. White Baby has doubts about the organization orders, and acts only on his own decisions and for his own goals."
Scotia Amundsen,"Adventurous, Resilient","The daughter of Scott Amundsen Jr., she travels the world in search of him. Both are treasure hunters, showing a particular interest in ""Arabian Tears"".

Somewhat of a cowgirl, shes dresses with the stereotypical hat, whip, and spurred boots.

In game, Scotia wields a large revolver, from which she's able to fire ricocheting bullets - they cover quite a distance, and can potentially hit targets multiple times each. The gold-laden camel she rides rapidly carries her away from battle should she be injured."
Maryell von Wittenberg,"Nice, Careless","Becoming a instructor at an young age, she is usually nice towards her cadets from the beginning, a trait unique to her, since other drill instructors tend to be more strict. She tends to be careless, usually tripping and dropping her things on the floor."
Riviera von Wittenberg,"strict, caring","An experienced instructor, she is very strict and sometimes harsh towards her cadets, sometimes more than other Drill Instructors. However, much like the other instructors, she will get much softer once she falls in love with someone."
Seirah,"calm, confident","Just like Ralf and Clark, her past is best to remain a mystery. Rumors about her past include working as an assasin for an unespecified corporation, deserting, and changing her name to enter the Regular Army. She is eventually assigned to Heidern's mercenary unit under her current name, Whip. When she was new, Ralf used to call her Muchiko, a nickname that she claimed she didn't like. She is also known to enter fighting tournaments alongside the rest of her team, destroying the corporation she used to work for in the course of those. She is a calm and pure-hearted girl that is very confident about herself. She has found hopes for a better future and being happy once again with her squadmates Ralf, Clark and Leona."
Alisa Stewart,"Independent, Collaborative","A former special forces mechanic. Even though she normally prefers working alone, she makes an exception when it comes to fighting alongside the demon king."
Annette,"impulsive, impatient","A mutant inventress, she's Odette's older sister. She's both impulsive and impatient, as she wants results quickly and because of her busy schedule, is unable to linger around for prolonged periods of time. The Vanguard Type-A was created for her.

She has a very good bond with Odette, due to the fact that they are sisters. Annette reminds Odette about what to do, such as going over schedules and giving her as much encouragement as possible to ensure she completes her tasks. This bond is kept secret from the higher echelons of the Invaders, as she feels that her treatment of Odette leans more towards a spoiling side."
Percier,"jealous, loyal","A small girl with green hair, she considers herself to be the ""eternal assistant"" of the Professor. She didn't share his interest in Martian technology, however, and he abandoned her while leaving the Rebel Army.

She looks and acts like a Martian, as her infobox states that it is a way to compete with for affection from the Professor. She dislikes the Martians because they ""stole"" her ""beloved"". The Professor considers her to be somewhat boring."
Chloe,"perfectionist, high-strung","A female officer in the Rebel Army's transportation unit. 
This one-of-a-kind woman has an excellent sense of balance and the calculation abilities necessary to operate the new flying U-002 Naglfar weapon built at the Union base.
Because she is an extremely high-strung perfectionist who refuses the compromise, she is constantly arguing with the mechanics.
She respects Rapid, who leads the transportation unit, and hopes they can somehow become friends."
Mello,"Mysterious, Strong","This mysterious female soldier holds her own against the futuristic weapons of the Rebel Army. The energy released by the railgun renders many defenses ineffective. Though she cooperates with the Regular Army, her intentions are currently unknown. She seems to have a deep connection to Nova."
Huracan,"Strong, Competitive","A female Morden solider in back attacks using a giant bowgun. Daughter of an aboriginal chief living in undeveloped forests, she was strong enough to fend off a Morden invasion by herself. In exchange for leaving her tribe alone, she assists the Morden army. She loves battling. The outcome coudn't suit her better."
Rapid,"Confident, Flirtatious","Female officer belonging to the Rebel Army supply unit. The train she conducts was thrown into the front lines as a weapon in order to defeat the Regular Army. No one can best her at steering trains, and the route map and schedule she designed gets rave reviews for being impeccably accurate. On the other hand, her private life is a mess with non-stop gossip floating about, and she has many secret admirers in the Rebel Army. She hits on anyone who catches her eye by asking them if they want to ride her train."
Izabella,"Sadistic, Compassionate","An officer in charge of the Rebel Army's prison. She has the right to discipline and punish others, making her feared by many. Though Izabella has a sadistic side to her, she has a bad habit of spoiling prisoners she takes a linking to. Navy and her know each other well and get along great."
Fedeln Metzelei,"gentle, dangerous","An invader with beautiful wings, landing after Schwarz Metzelei to carry out the invasion of Earth. It has a venom strong enough to destroy lifeforms from any planet, but can't control the poison itself, and so has lived a lonely life, spurned even by its allies. It has a gentle temperament, but watch out for the deadly scales and needles that fly from its wings."
Simon,"Reserved, Independent","She is an amnesiac, as it states that she lost her memory due to extensive experimentation by the Ptolemaic Army.

She doesn't speak much, but her sniping skills are some of the best in the army. She considers herself to be a lone wolf."
Aisha,"Brave, Impulsive","A new face of the Arabian rebellion. She shares Abul Abbas's dream and joined the fight of her own volition. An expert at swordplay and dancing, she's far greater fighter than she looks. She's quick to jump to conclusions and impulsive which causes problems for those around her."
Mira,"Mysterious, commanding",This wizard with the PM Army can perform rituals to summon unnatural phenomena. She leads Ptolemy's unit and operates on a different level from the other leaders. Few have seen her true face; a mask shrouds it in mystery.
Ariadna,"Determined, Brave","A former Rebel Army officer who left them to search for the Professor, she's one of his experiments from the past. She uses a handheld rocket launcher as both a melee and ranged weapon. As her special, she shifts into her battle mode, manifesting armor in an instant before dashing towards the enemy with a barrage of attacks."
Olga Tamm,"Adventurous, Independent","Olga Tamm is one of the seven Vanadises of Zhcted. Due to her young age she decided to travel the continent to seek adventures and gain experience. As a result, Olga is absent from her lands and is known as the ""Wandering Vanadis""."
Lilia Lilith,"Authoritative, vengeful",She is the queen of Villiers. She is the one who cursed Chris along with other Masou-Shoujo who tried to overthrow her from her position.
Takako Maruyama,"Insecure, Emotional","She appears as one of the participants at the preliminaries to regional piano concours, who got angry about Amamiya and was crying. Kai cheered her up and gave her inspiration for the future. So, she found her own style of playing.

She calls Kai ""Wendy"" because he has hair color like pet dog. Her favorite place is the restroom, where she is usually sitting with her dog, Wendy.

She has four successfull siblings. She was trying to impress them and her parents by her play, and finally she did it."
Kubera Leez,"Determined, vengeful","Kubera Leez a.k.a. Leez Haias, is the main protagonist. Kubera is her birth name, which is kept secret from anyone outside her village. ""Leez"" becomes her public name once she reaches her 16th birthday and leaves for the outside world.

Kubera grows up sheltered from the outside world in a secluded village, raised by her mother. On the day of her 16th birthday, she loses everyone she knows and loves to a red, bird-like sura, at which time the magician Asha Rahiro enters her life in the form of a reluctant savior. Leez's mission in life becomes to seek revenge and kill the red bird, and she relies on Asha's skills and knowledge to help her achieve her goal. Little does she know that Asha has her own agenda as well."
Deed,"Polite, Respectful","Along with Otto and Sette, this dual sword wielder was one of the last Numbers to be completed. She and Otto were created while using the same genetic material as a basis. Deed always presents a very polite behavior."
Dieci,"Reserved, Caring","Designated with the number ""10"", Deici entered in service roughly at the same time as Sein and thus treat the Numbers 1 to 6 as her seniors. A taciturn person who usually does not express her feelings openly and even though she holds deep love for all her sisters, she usually hides it behind a mask of coldness and professionalism, especially when in front of Nove and the other younger sisters."
Otto,"Taciturn, Loyal","Despite her boyish looks, Otto is actually a girl and one of the last Numbers to be completed, along with Deed and Sette. Being a taciturn person makes hard for her to communicate with others. But due to their akin personalities, she and Deed share a strong bond that allows them a degree of silent mutual understanding."
Cinque,"Caring, Stoic","Her 'IS' allows her to transfer energy into any metal that she touches and transform them into explosives. This ability is typically applied in her Stinger throwing knives. The Shell Coat that she wears is a defensive device with Barrier and AMF capabilities. In spite of her stoic demeanor when executing missions, Cinque has a caring personality that earns her the admiration of her younger sisters. She is especially tender towards Nove, who shows equal concern back towards her."
Alma,"Courageous, Nurturing","Amadeus's reearcher, finally successful in modifying carnivorous beast cells. She injects herself with a special virus to transform. She can transform fully, but loses mental control as she becomes more beast-like, so she's stayed partially human. She loves big cats, and likes nothing more than spending time at home with her toyger."
Moe Mizukoshi,"gentle, polite","Moe is a gentle girl who is often seen throughout the series sitting on the roof at lunchtime cooking and eating soup with her younger sister, Mako. She is very polite but can be dim-witted at times, and can fall asleep anywhere at any time, even when she's walking."
Alice Tsukishiro,"reserved, acrobatic","Alice is a reserved young woman, later revealed to be from the same country as Aisia, and the daughter of a family of circus acrobats."
Touri Fueyama,"brilliant, calm",Tour is student council's clerk. She's brilliant and keeps her calm no matter the situation. Her grades are number one in the school.
Rui Aoi,"shy, gluttonous","Rui is a shy and weak member of the science club. She is big and eats more than most people. She and Fuka are childhood friends and are therefore, unfortunately for Aoi, often together."
Kiiko Sasaki,"strong, loyal","Kiiko is the only female member of the Yamainu Squad and the childhood friend of Tenka Kumo and Sousei Abeno.  She's strong, dutiful, and extremely loyal."
Iron Fortress,"Friendly, Protective","A huge tank equipped with an independent AI, developed by the Professor to protect White Baby from physical attacks. It's maximized for physical use, with no virus abilities. Unlike White Baby, it's friendly to both humans and the organization. Repeated teasing from White Baby has given it a weak personality. But it's powerful cannon fire is anything but weak, as enemy armies can attest."
Liete,"wise, intuitive",The High Priestess of Alent. Initially through apparitions she helps Justin in his adventure to discover the mysteries of the Angelou Civilization acting as a guide for the young adventurer.
Moe Fukuoka,"confident, determined","Moe is a karate prodigy and Inoba's mentor's granddaughter. She became interested in pro-wrestling because of Sakura. Her style in the ring incorporates elements of karate together with pro-wrestling, and she uses powerful blows to stagger her opponent."
Jackal Tojo,"confident, nurturing","Jackal is a renowned world champion pro wrestler and Misaki's mentor. Like Misaki, she sees Sakura's potential, prompting Jackal to challenge her in a wrestling match."
Fina,"Authoritative, Supportive","Known as ""Lady Fina"" to the other DearS. Her official position is that of the ""Watcher"", and she seems to be the leader of the DearS colony; even Rubi bows to her. She does not awaken until volume 5 of the manga, and seems to support Takeya taking Ren in as his slave. In fact, she immediately orders Rubi to stop trying to recapture Ren."
Michiru Mamiya,"malevolent, determined","Ayumi's younger sister, who is determined to stop Ayumi from breaking her curse and one day becoming head of the Mamiya family. She knows that Haruo's powers extend far beyond the ability to break Ayumi's curse and she intends to use that power to take over the world. Michiru is unbelievably powerful and extremely malevolent."
Elíka Drakul Draupnils,"Rivalrous, Caring","Erika is Rotte's oldest friend and also her only friend prior to Asuha's arrival. Elíka is a Vampíra, one of the ancient races of Álfheimr. She is commonly at odds with Rotte due to their personalities, age difference and noble pedigree, which leads to a constant rivalry over trivial matters, but they are very good friends nonetheless and Elíka is constantly looking out for Rotte."
Cuthfleda,"Clumsy, Submissive","Cu is a Young clumsy maid in service of Rotte. She is a Nótt Álfur or Night Elf. She has mentioned that in the past Judit punished her by having her do the shopping pantiless in a mini-skirt, serving tea wearing only an apron and other embarrassing things."
Críet trédís,"independent, humble","Crie is a Nótt Álfur and a princess of the country of Svarthæð. She is the youngest offspring and the illegitimate daughter of King Sveinn, although she doesn't consider herself royalty and prefers to live a modest and independent life. Like Cú, she is the daughter of a Nótt Álfur and an Álfur.

She doesn't appear in the anime."
Birtna Hvita,"Serious, Secretive","Birtna is a member of the Garden of Peaches, a secret club of the Royal College of Ygvarland that's also known as the Front for the Liberation from Restraints and object of several investigations by the Celestial Bodies Research Club. She is shown to have a serious personnality.

Birtna doesn't appear in the TV series or the OVA."
Rillacle,"Aggressive, Adventurous","A variant specimen sent into human society to help with the invasion of Earth. Unlike Odette and the others, she's more interested in weapons and battlefields than Earth's culture. She lives for pleasure, and the battlefield is her playground. She learned to transform her tentacles into huge fists by studying Earth games."
Houjou,"Reserved, Popular",A pretty girl in the same class as Takagi and Nishikata. She is popular with the boys and known for her unapproachable behaviour.
Hisako Kajiura,"Helpful, Caring",Hisako is Mizuho's 3-A homeroom teacher and one of the few people in the entire school who knows that Mizuho is in fact a boy. She has a helpful personality and told Mizuho to come to her if anything was bothering him. She often gives out candy to her students.
Ichima,"Mysterious, Strong","A puppeteer, the likes of which have existed in the East since ancient times. She appears to be a young girl, but they say she's looked the same for decades. She used to live in the same village as Yoshino and Shizuka, but disappeared when it was attacked by the Rebel Army. Yoshino is one of the few people she's known since her youth. She attacks with her huge puppet as easily as with her own two hands. One punch from its fists does more damage than most modern weaponry."
Mio Osakabe,"shy, kind","Mio is a second year student with a shy nature who hangs around with Omi. Due to her short stature, she is often mistaken for a grade school student and has even received multiple confessions from grade school students. She is in fact half frog spirit and can heal quickly. While she did not have a name originally, Omi named her from a combination of his own given name and his home town's name. She is on good terms with Omi."
Neena Hagen,"Sadistic, Unstable","Neena Hagen is a test tube baby like Rudolf. It is unknown if she is the blood sister of Rudolf. Nevertheless she respects and loves Rudolf dearly to a level beyond siblings, and dislikes Aika for ""seducing"" her brother Rudolf. A sadistic character and unstable mood, she walks around in her bare essentials and makes sure the black Delmo are punished for failure."
Venus,"Compassionate, Romantic","Venus, the goddess of love, went to the Envoys of Gaia looking for romance.

Giving off a sweet pink aura, Venus releases her Cupid arrows everywhere. Not only can it reduce the enemy's damage and render them unconscious, the atmosphere of love can also restore the members' strength. She is truly a full-service Resource God."
Serena,"Creative, Compassionate","Serena travels the night sky on her giant moon, sketching the world as she sees it below. She is the sister of the Eidolon Aelius, but their relations seem to be on rocky ground. Nevertheless, her lunar magic always shines bright to illuminate allies' way to victory."
Tsubaki,"resourceful, dangerous","A master assassin given new life as a heroic spirit, Tsubaki specializes in espionage and combat medicine. She can quickly apply treatments that ease fatigue or let one drain a foe's life. With powerful chakra and a host of self-made drugs, she is an excellent - if dangerous - ally."
Tanith,"Pleasure-seeking, Rebellious","A demon warrior from Pandemonium, Tanith finds beauty and liberty in satiating one's own desires. She crossed over to help humans free their hearts from rigid moral codes, promising to show them the pleasure of frenzied battle, and a few other things besides."
Cally Cutie,"Adorable, Possessive",The cutest and best boy in existence. If you don't love him you have problems but he is mine anyways~
Akane Hiura,"fond, short-tempered",She's the Sniper of Nasu Unit. She is very fond of her teammates and adores cats. She is also short-tempered.
Inshun Houzouin,"quiet, loyal","She is a Master Samurai, and a member of the Dark Samurais. Inshun is a very quiet person. Because of the Dark Samurai reanimation, Inshun lost the ability to talk by herself, so she can only talk through a special device. That's probably why she doesn't talk too much. When she meets Jubei, they become friends quickly."
Yukari Ayatsuji,"nice, aloof",She is Tsukasa's older sister who is very nice and aloof. It is those traits that Tsukasa dislikes about her sister.
Mika Makihara,"cheerful, normal",A secondary character of Amagami. She has a cheerful attitude and normal behaviour in comparison to the other female character in the story.
Chinatsu,"Friendly, Grateful","Chinatsu is a grade school student whose wallet was found by Shirosaki who gave it the police. Later, she and her mother went to the Kawai Complex to thank Shirosaki about finding her wallet and turning it in. 
Later, she continuously visits the complex to hang out with Shirosaki or to eat some pudding from Sumiko Kawai."
Rikka Kurasawa,"ambitious, loyal","The President of the Second Student Council. She is the Handler of Suishou. Himezasa, the Burial Doll of Suishou, is a close friend of her. She also loves money."
Reiko Saeki,"Caring, Supportive","The younger sister of Reishirou. She is also part of the First Student Council, but is unable to see Aine or Asura Machina as she is not directly involved with them. She has a good relationship with Aine before she became a Burial Doll, and was glad that Aine was happy being with her brother."
Ania Fortuna Somesheru Miku Crowzenbruhi,"Intelligent, Manipulative","A genius blond-haired Akuma who recently got transferred to Tomoharu school and was put into his care from the Akuma hunt. Her family profession is to study the Asura Machina control systems. She is a Luck-eater, an Akuma that eats the luck of people and controls the balance between unlucky and lucky people."
Hiwako Torishima,"Curious, Determined","Tokiya's contracting demon, Nicknamed ""Kori Hime (Ice Princess)"" from her looks and character. Hiwako uses ice naginata named ""Hyou-ou"" when she fights. She became a Tokiya's contracting demon in order to find the truth about the world, from where it start and where it ends."
Miho Fujikawa,"Protective, Jealous",Ayano's daughter and Yamato’s younger cousin by two years. She is very attached and protective of Yamato to the point of being jealous of Suzuka.
Honoka Sakurai,"shy, devoted","Met Yamato from an incident that happened in their childhood at her family's shrine that he often went to when visiting his aunt. Ever since, Honoka has had a crush on him, but was too shy to talk to him. Much to her shock, Yamato entered her high school and even was part of her class. Seeing her opportunity, she begins to talk with him and they become friends. When Yamato joins the track team, she decides to become the manager so they do not grow apart."
Mina Nagoshi,"confused, critical","Haruto's high school classmate in Tokyo. When Haruto asks her out to a festival visit at Yuzuki's school, she interprets it as a date and starts criticizing him, but later begins to feel sympathetic and mistakenly believes Haruto likes her, leading to confusion. She later gives up, and tells Haruto she is dating someone from another class, although she occasionally reappears from a distance, and misinterprets more of Haruto's actions."
Shiori Amaya,"Creative, Mysterious","She is part of the same university as Haruto and is secretly working as a mangaka. When drawing, her appearance and personality totally changes."
Maika Mizukoshi,"responsible, compassionate","Mizukoshi Maika is a medic in charge of public health in the Kazami school. Mizukoshi hospital is her familial enterprise. In addition, she is working in a research institute of Professor Amakase, leading the researches dedicated to the creation of robots. She also takes care of awakened Minatsu."
Mayuki Kousaka,"Smart, Sportive","Mayuki is a smart and sportive tomboyish girl, who suffers from mania of saving Kazami School from Suginami's pranks once and forever. She is a member of Student Council. She is good at cooking, and quite popular among the students."
Rosa Canyon,"Insecure, Humble","Rosa Canyon is a Hollywood actress who works as a dealer at Howard Resort. Despite her movie status, she admits her popularity pales in comparison to Rio's."
Dana,"mysterious, intuitive","Daana is the magician of the Howard Resort and a fortune teller, she uses tarot cards to predict her customers' futures."
Risa Rollings,"skilled, nurturing","Risa is Rio's mother, a legendary casino dealer known as the Double Rs. Risa taught Rio and Rina her dealing techniques during their childhoods, and was the previous MVCD, having collected all 13 Gates. (MVCD - Most valuable card dealer)"
Branwyn,"passionate, altruistic",A young and enthusiastic individual from Wales. Unlike other mercenaries Branwyn does not seem to be motivated by money or glory and often targets French nobles in any conflicts she participates.
Leo,"Leadership, Respectfulness",The leader of the White Wings Arisen Corps and highly regarded by the Newly Arisen and the residents of the White Dragon Temple.
Brigitte Bleu,"Cunning, Competitive","Brigitte Bleu is a Blue Nation spy working for General Plastro. She is typically depicted as having a rivalry with Vikki Grimm. 

Source: Army Men Wikia"
Sumire Yotsuya,"kind-hearted, cheerful","Sumire is a kind-hearted 16 year old highschool girl of Satoyama High's class 1-A who somehow constantly gets confused for an old man. Her friends value her cheerful attitude and ability to make even the most boring days fun. Although most people usually give her weird stares or run away from her, she is willing to lend a hand to anyone who may need her help, regardless of how badly they may have treated her before."
Renge Ohyama,"Empathetic, Supportive","A normal high school girl of Satoyama High's class 1-A. She was the first to become friends with Sumire Yotsuya and still remains one of her closest friends.
She's a rather ordinary girl and was bullied in the past, but has since been able to live a fun life in high school."
Mizuki Tsukamoto,"responsible, loyal","A smart and dependable member of Satoyama High's class 1-B, Mizuki was never one to think of high school as fun, but Sumire has helped her slowly change that. While never too enthusiastic about the groups antics, she is still part of it and would never abandon her new-found friends."
Reiko Yamabuki,"analytical, curious","A math teacher at Satoyama High, Ms. Yamabuki has always believed that ""everything in this world can be calculated"". Although her logic fails her once she meets Sumire Yotsuya, this karate-proficient teacher is keen on understanding just what it is that she just doesn't understand about her and slowly lets herself get dragged into her abnormal world."
Mysterious Woman,"Respectful, Conflict-averse","A member(?) of class 1-A, she has earned herself respect among both the boys and girls of Satoyama High, although for very different reasons. Often seen with Ryuuji Sakura, she is afraid on conflict, but somehow keeps ending up right in the center of it."
Kei Takanashi,"reserved, assertive",Kei is a strange girl in Mizuho's class who usually has a quiet voice and doesn't show much emotion which often gives her a creepy visage. She is the director of the drama club and during times on stage she has to be very forceful in order to get a good response out of her actors.
Kimie Sugawara,"serious, loyal","Kimie is a treasurer of the student council and as such, she follows Takako around almost all the time. When they are not together, Kimie will go around investigating various matters and report back to Takako. Much like Takako, she has a very serious personality and would not stop at sticking up for Takako when need be."
Myonri,"nervous, easily intimidated",She is a soldier of the 37th Mobile Maintenance Battalion of the Legitimacy Kingdom. She is shown to be nervous and easily frightened or intimidated.
Kasha Imhof,"hot-tempered, aggressive","A teenage girl who was friends with Cosmo on Solo, Kasha quickly becomes involved in the fighting when the Buff Clan launch their attack on Solo. Kasha becomes the main pilot of the Ideo-Buster/Sol-Amber. Although a good pilot, Kasha is quite hot tempered and aggressive which can get her in trouble at times. Like Cosmo, she at times conflicts with the opinions on the adults on the ship. She is also one of the people most critical of Karala early in the series."
Harulu Ajiba,"Authoritative, Hostile","The elder sister of Karala, and daughter of Doba, Supreme Commander of the Buff Clan military. A high-ranking member of the Buff Clan military, Harulu leads the pursuit of the Solo Ship and Ideon for much of the first half of the series. She views her younger sister as a traitor to the Buff Clan and despises her."
Minase Sakurako,"gentle, kind","Sakurako is soft-spoken and has a gentle personality, but is also a natural airhead. She is considered to be one of the two school “idols” due to her beauty, she’s very good friends with Mayuri and is in a year above Shou. Sakurako is very kind and innocent to everyone. Loves to try new things because it’s exciting, and has a very creative mind."
